Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
StudentFormDDTSuite,Chrome 144.0.0.0,DDT Test Suite - 1 TC runs all 9 rows from Student Data Scenario.csv,,20-02-2026 14:44:50,20-02-2026 14:47:50,"3m - 0,317s",PASSED
,,,,,,,
Test Cases/TC_StudentForm_DDT,Chrome 144.0.0.0,DDT Student Form - runs all rows from Student Data Scenario.csv,,20-02-2026 14:44:50,20-02-2026 14:45:18,"27,887s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 14:44:52,20-02-2026 14:44:55,"3,006s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 14:44:55,20-02-2026 14:44:58,"2,863s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 14:44:58,20-02-2026 14:44:58,"0,092s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 14:44:58,20-02-2026 14:44:58,"0,533s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 14:44:58,20-02-2026 14:44:59,"0,419s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 14:44:59,20-02-2026 14:44:59,"0,410s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 14:44:59,20-02-2026 14:45:00,"0,404s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:00,20-02-2026 14:45:01,"1,117s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:01,20-02-2026 14:45:01,"0,285s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 14:45:01,20-02-2026 14:45:01,"0,046s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 14:45:01,20-02-2026 14:45:01,"0,239s",PASSED
if (FirstName),Chrome 144.0.0.0,,,20-02-2026 14:45:01,20-02-2026 14:45:02,"0,410s",PASSED
if (LastName),Chrome 144.0.0.0,,,20-02-2026 14:45:02,20-02-2026 14:45:02,"0,372s",PASSED
if (StudentEmail),Chrome 144.0.0.0,,,20-02-2026 14:45:02,20-02-2026 14:45:02,"0,275s",PASSED
"if (!(Scenario.startsWith(""TC005"")))",Chrome 144.0.0.0,,,20-02-2026 14:45:02,20-02-2026 14:45:02,"0,060s",PASSED
if (MobileNumber),Chrome 144.0.0.0,,,20-02-2026 14:45:02,20-02-2026 14:45:03,"0,281s",PASSED
"if (Scenario.startsWith(""TC009""))",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,005s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,009s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,014s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,021s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,004s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,090s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,092s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,060s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:03,"0,045s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:03,20-02-2026 14:45:04,"1,015s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 14:45:04,20-02-2026 14:45:04,"0,289s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:04,20-02-2026 14:45:04,"0,045s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:04,20-02-2026 14:45:04,"0,036s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 14:45:04,20-02-2026 14:45:05,"0,117s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:05,20-02-2026 14:45:05,"0,080s",PASSED
if (CurrentAddress),Chrome 144.0.0.0,,,20-02-2026 14:45:05,20-02-2026 14:45:05,"0,315s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:05,20-02-2026 14:45:05,"0,020s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:05,20-02-2026 14:45:06,"1,023s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:06,20-02-2026 14:45:06,"0,054s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:06,20-02-2026 14:45:07,"1,020s",PASSED
"if (Scenario.startsWith(""TC007""))",Chrome 144.0.0.0,,,20-02-2026 14:45:07,20-02-2026 14:45:07,"0,003s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:07,20-02-2026 14:45:07,"0,099s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:07,20-02-2026 14:45:07,"0,339s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:07,20-02-2026 14:45:09,"1,013s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:09,20-02-2026 14:45:09,"0,040s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-3-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(State))",Chrome 144.0.0.0,,,20-02-2026 14:45:09,20-02-2026 14:45:09,"0,041s",PASSED
delay(2),Chrome 144.0.0.0,,,20-02-2026 14:45:09,20-02-2026 14:45:11,"2,013s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:11,20-02-2026 14:45:11,"0,121s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:11,20-02-2026 14:45:11,"0,215s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:11,20-02-2026 14:45:12,"1,021s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:12,20-02-2026 14:45:12,"0,025s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-4-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(City))",Chrome 144.0.0.0,,,20-02-2026 14:45:12,20-02-2026 14:45:12,"0,036s",PASSED
"executeJavaScript(""document.getElementById('submit').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:12,20-02-2026 14:45:12,"0,065s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:12,20-02-2026 14:45:13,"1,010s",PASSED
"popup = executeJavaScript(""return document.getElementById('example-modal-sizes-title-lg') ? document.getElementById('example-modal-sizes-title-lg').innerText.trim() : '';"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,036s",PASSED
"formSubmitted = popup.equals(""Thanks for submitting the form"")",Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,002s",PASSED
"shouldPass = ExpectedResult.equals(""PASS"")",Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,003s",PASSED
"if (Scenario.startsWith(""TC008""))",Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,003s",PASSED
takeScreenshot(),Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,253s",PASSED
if (formSubmitted == shouldPass),Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:13,"0,018s",PASSED
if (formSubmitted),Chrome 144.0.0.0,,,20-02-2026 14:45:13,20-02-2026 14:45:15,"1,222s",PASSED
delay(3),Chrome 144.0.0.0,,,20-02-2026 14:45:15,20-02-2026 14:45:18,"3,009s",PASSED
closeBrowser(),Chrome 144.0.0.0,,,20-02-2026 14:45:18,20-02-2026 14:45:18,"0,543s",PASSED
,,,,,,,
Test Cases/TC_StudentForm_DDT,Chrome 144.0.0.0,DDT Student Form - runs all rows from Student Data Scenario.csv,,20-02-2026 14:45:18,20-02-2026 14:45:39,"20,740s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 14:45:18,20-02-2026 14:45:19,"1,073s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 14:45:19,20-02-2026 14:45:21,"2,051s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 14:45:21,20-02-2026 14:45:22,"0,087s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 14:45:22,20-02-2026 14:45:22,"0,040s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 14:45:22,20-02-2026 14:45:22,"0,354s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:22,20-02-2026 14:45:22,"0,457s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:22,20-02-2026 14:45:23,"0,326s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:23,20-02-2026 14:45:24,"1,014s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:24,"0,179s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:24,"0,057s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:24,"0,065s",PASSED
if (FirstName),Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:24,"0,334s",PASSED
if (LastName),Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:24,"0,000s",PASSED
if (StudentEmail),Chrome 144.0.0.0,,,20-02-2026 14:45:24,20-02-2026 14:45:25,"0,345s",PASSED
"if (!(Scenario.startsWith(""TC005"")))",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,054s",PASSED
if (MobileNumber),Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,302s",PASSED
"if (Scenario.startsWith(""TC009""))",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,001s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,001s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,001s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,001s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,001s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,077s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,063s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,055s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:25,"0,036s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:26,"1,019s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 14:45:26,20-02-2026 14:45:27,"0,293s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,031s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,034s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,115s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,083s",PASSED
if (CurrentAddress),Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,310s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,047s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:28,"1,016s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:28,20-02-2026 14:45:28,"0,052s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:28,20-02-2026 14:45:29,"1,009s",PASSED
"if (Scenario.startsWith(""TC007""))",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:29,"0,004s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:29,"0,110s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:30,"0,147s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:30,20-02-2026 14:45:31,"1,012s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:31,"0,104s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-3-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(State))",Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:31,"0,059s",PASSED
delay(2),Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:33,"2,028s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:33,"0,090s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:33,"0,163s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:34,"1,006s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,036s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-4-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(City))",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,029s",PASSED
"executeJavaScript(""document.getElementById('submit').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,044s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:35,"1,009s",PASSED
"popup = executeJavaScript(""return document.getElementById('example-modal-sizes-title-lg') ? document.getElementById('example-modal-sizes-title-lg').innerText.trim() : '';"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,034s",PASSED
"formSubmitted = popup.equals(""Thanks for submitting the form"")",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,001s",PASSED
"shouldPass = ExpectedResult.equals(""PASS"")",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,002s",PASSED
"if (Scenario.startsWith(""TC008""))",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,001s",PASSED
